弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
562.37800,1,25,16777215,Wed Jul  1 10:32:35 2020,0,9d41d97b,34827707678195715,秒杀哦
604.29600,1,25,16777215,Wed Jul  1 11:12:27 2020,0,473d2fae,34828961908260869,双重人格
544.73400,1,25,15138834,Wed Jul  1 11:24:48 2020,0,d45a91b0,34829350407766019,善意小五郎？
394.51600,1,25,15138834,Wed Jul  1 11:44:25 2020,0,7557c486,34829967162343429,泪水哗啦啦的掉
382.91900,1,25,16777215,Wed Jul  1 12:01:44 2020,0,a2b1ca42,34830511998763015,这个是春日野悠的cv
996.95700,1,25,16777215,Wed Jul  1 12:05:50 2020,0,da8c2824,34830640993533957,这乌鸦好像和炭治郎一个声优
555.74900,1,25,16777215,Wed Jul  1 12:10:08 2020,0,1ffcedb1,34830776410832903,技术指导:毛利小五郎
540.91800,1,25,16777215,Wed Jul  1 12:27:57 2020,0,ffaf3acc,34831336576385027,换号中
42.63500,1,25,16777215,Wed Jul  1 12:30:36 2020,0,fb2f1818,34831420207136773,煮了带AI
292.11400,1,25,16777215,Wed Jul  1 12:41:31 2020,0,105acf4b,34831763559153671,这音乐…
123.90700,1,25,41194,Wed Jul  1 13:16:39 2020,0,4eec8777,34832868859445251,咩～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～
529.55400,5,25,16707842,Wed Jul  1 13:19:26 2020,0,614236af,34832956465872899,完结撒花感谢陪伴
588.26300,5,25,16707842,Wed Jul  1 13:20:36 2020,0,614236af,34832993042300995,太帅了太帅了太帅了
609.85300,5,25,16707842,Wed Jul  1 13:21:04 2020,0,614236af,34833007396257795,太帅了太帅了太帅了
347.40700,1,25,41194,Wed Jul  1 13:21:56 2020,0,4eec8777,34833035007361031,草泥马
462.47400,1,25,16777215,Wed Jul  1 13:36:55 2020,0,9d2c4d68,34833506405187589,你到底是怎么通过的呀
619.21400,1,25,16777215,Wed Jul  1 13:39:46 2020,0,9d2c4d68,34833596058959875,帅不过3秒
518.49000,5,25,16707842,Wed Jul  1 14:00:14 2020,0,4e4aa27c,34834239600459781,登录中
156.69000,1,25,16777215,Wed Jul  1 14:12:32 2020,0,30c921c2,34834626384494599,。。。。。。。。。，
343.12200,1,25,16777215,Wed Jul  1 14:15:45 2020,0,30c921c2,34834728047607811,。。。。。。。。。
392.61200,1,25,16777215,Wed Jul  1 14:17:20 2020,0,30c921c2,34834777873317893,。。。。。。。。。，
558.99500,5,25,16755202,Wed Jul  1 14:20:00 2020,0,c49a42de,34834861691240451,睡眠指导：毛利小五郎
463.07300,1,25,16777215,Wed Jul  1 14:46:38 2020,0,2f1b5499,34835699456278535,即使很害怕，也没有放开男孩
609.74100,1,25,16777215,Wed Jul  1 15:34:43 2020,0,1af15c9d,34837211757674503,帅呆了！！！
605.91900,1,25,52480,Wed Jul  1 15:38:14 2020,0,a55f75e4,34837322360946695,帅哥你谁？？？
647.08500,1,25,4351678,Wed Jul  1 15:38:55 2020,0,a55f75e4,34837343926484995,这……。。。。。
680.98900,5,25,15138834,Wed Jul  1 15:59:40 2020,0,27e48396,34837996691783683,俄罗斯弹舌野猪
626.68100,1,25,16777215,Wed Jul  1 16:03:55 2020,0,632d3e10,34838130728632323,有被帅到
783.24200,5,25,14811775,Wed Jul  1 16:46:26 2020,0,e1b4754e,34839468063588355,就这？
10.15900,1,25,16707842,Wed Jul  1 16:50:20 2020,0,79f22199,34839590517342213,连肝12级，爽
711.42000,1,25,15138834,Wed Jul  1 16:52:22 2020,0,13a36dbe,34839654618890247,网恋对象
218.04600,1,25,16707842,Wed Jul  1 16:52:33 2020,0,79f22199,34839660487245831,340m每秒
570.36600,1,25,16707842,Wed Jul  1 16:58:42 2020,0,79f22199,34839853752385541,牛啊
608.82600,1,25,16707842,Wed Jul  1 16:59:47 2020,0,79f22199,34839887694266371,哈撒剋
1022.51600,1,25,16777215,Wed Jul  1 17:08:10 2020,0,b7450b82,34840151741956103,麦乐鸡？？？哈哈哈哈或或
873.89700,1,25,16777215,Wed Jul  1 17:12:46 2020,0,409fb147,34840296126676999,卖狗皮膏药
989.43800,1,25,16777215,Wed Jul  1 17:14:53 2020,0,409fb147,34840362837082117,RH阴性？
1284.35000,1,25,16777215,Wed Jul  1 17:20:12 2020,0,409fb147,34840529923997699,鸡血郎
563.49100,1,25,16777215,Wed Jul  1 17:31:23 2020,0,8bb4e594,34840881826627589,下辈子注意点。。。
532.27100,1,25,16777215,Wed Jul  1 18:05:26 2020,0,a571b933,34841953275740163,笑死
573.67200,1,25,16777215,Wed Jul  1 18:06:11 2020,0,a571b933,34841976577196037,黛打了
1299.02500,1,25,16777215,Wed Jul  1 18:08:42 2020,0,e0a3e56,34842055862648837,trump才是最棒的
495.38900,1,25,15772458,Wed Jul  1 18:41:09 2020,0,c048792f,34843076566974531,前方高能！！！
381.72500,1,25,16777215,Wed Jul  1 19:00:24 2020,0,d484f04f,34843682079768581,豆子还在外边
348.84500,1,25,16777215,Wed Jul  1 19:35:08 2020,0,7261865e,34844774609977347,太沙雕了……
