弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
903.38500,1,25,16646914,Fri Jul 10 20:43:27 2020,0,64fc48b0,35254610202460167,西内大
22.21800,1,25,16777215,Fri Jul 10 20:44:18 2020,0,3da13a73,35254636860407815,温故而知新
432.44500,1,25,16777215,Fri Jul 10 20:47:04 2020,0,1c30bf8f,35254723944120323,哈哈哈
682.95400,1,25,16777215,Fri Jul 10 20:58:22 2020,0,d7805bf,35255079574437893,恐怖片
701.60100,1,25,16777215,Fri Jul 10 20:58:41 2020,0,d7805bf,35255089361321987,汪汪汪
496.54600,1,25,16777215,Fri Jul 10 20:59:47 2020,0,9b2db021,35255123844792327,有中文版的吗
563.53400,1,25,16777215,Fri Jul 10 21:10:26 2020,0,3cb73a84,35255458868494343,啊啊啊
72.69400,1,25,16777215,Fri Jul 10 21:10:30 2020,0,9cc589de,35255461236178947,满面尘灰烟火色
1194.88500,1,25,16777215,Fri Jul 10 21:14:47 2020,0,f1a36041,35255596082003971,小忍呢？
1161.64000,1,25,16777215,Fri Jul 10 21:19:19 2020,0,f2dba5e1,35255738283065347,这战斗力惊人
390.43000,5,25,15138834,Fri Jul 10 21:25:25 2020,0,dc5861ef,35255930165133319,地府有一部成文法典叫做《人类被窝保护法》
427.53000,5,25,15138834,Fri Jul 10 21:26:05 2020,0,dc5861ef,35255951227355141,Falg
351.88000,1,25,16777215,Fri Jul 10 21:30:52 2020,0,e05ed23a,35256101599969283,start
479.51100,1,25,16777215,Fri Jul 10 21:32:59 2020,0,e05ed23a,35256168525856775,快点跑
497.08600,1,25,16777215,Fri Jul 10 21:33:17 2020,0,e05ed23a,35256177721868293,ace
800.53400,1,25,16777215,Fri Jul 10 21:34:26 2020,0,e05ed23a,35256213866807303,天罡
755.43500,1,25,16777215,Fri Jul 10 21:39:55 2020,0,d30600ed,35256386308276227,考哥
429.07800,1,25,16777215,Fri Jul 10 22:06:24 2020,0,ab56e829,35257219630497799,危危
694.22600,1,25,16777215,Fri Jul 10 22:19:27 2020,0,784a97a7,35257630323113991,全局终
