弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
295.97100,5,25,16646914,Sat Jul  4 20:41:27 2020,0,c8ad691b,34982756563812359,妹妹已经很饿了
414.42500,1,25,41194,Sat Jul  4 20:43:40 2020,0,f96c9f31,34982826378002435,这小子已经路化了
467.11700,5,25,16646914,Sat Jul  4 20:44:46 2020,0,c8ad691b,34982860532744195,仙术没错了
530.98500,1,25,41194,Sat Jul  4 20:45:52 2020,0,f96c9f31,34982895526871045,鬼畜之刃
979.22800,5,25,15138834,Sat Jul  4 20:48:58 2020,0,aa51b7e7,34982992884006919,就跟你知道语文的答题技巧，但就是不知道完全的运用
738.41600,5,25,16646914,Sat Jul  4 20:50:39 2020,0,c8ad691b,34983045888999429,少年 手刃吧
823.40100,1,25,16777215,Sat Jul  4 21:08:03 2020,0,e9ae090d,34983593153921027,狼尾帅哥
387.22500,5,25,15138834,Sat Jul  4 21:37:53 2020,0,71d1bab5,34984531756318725,妹妹睡了两年？
447.20600,1,25,16777215,Sat Jul  4 22:02:34 2020,0,b56df67b,34985308242051075,波纹！
758.48800,5,25,8700107,Sat Jul  4 22:04:41 2020,0,c8a8f3d0,34985374630543365,为什么绳子一直不断
1291.53000,1,25,16777215,Sat Jul  4 22:05:59 2020,0,960163c6,34985415741538307,兔兔是石头精？
959.41700,5,25,16646914,Sat Jul  4 22:12:24 2020,0,656d15e2,34985617416781827,兄弟，瓶颈了。推荐：筑基破镜丹
155.95700,1,25,16777215,Sat Jul  4 22:15:48 2020,0,a5c93828,34985724240986119,cp9
37.97700,1,25,16777215,Sat Jul  4 22:16:06 2020,0,e8ed9fcf,34985733634129925,祢豆子
1035.64400,1,25,16777215,Sat Jul  4 22:16:20 2020,0,6bcac4ac,34985741118341191,香菜？
272.86400,1,25,16777215,Sat Jul  4 22:18:13 2020,0,a5c93828,34985800337719303,鬼影迷踪步
1172.67800,1,25,16777215,Sat Jul  4 22:36:18 2020,0,a5c93828,34986369278803975,好刀
1093.74900,1,25,16777215,Sat Jul  4 22:40:50 2020,0,bf364a0b,34986511582625797,胸那里是什么？
251.43300,1,25,16777215,Sat Jul  4 22:48:37 2020,0,732e9121,34986756694081543,正常人他写日记吗
315.18700,1,25,16777215,Sat Jul  4 22:49:36 2020,0,bf76e1ba,34986787478700035,+/
385.41800,1,25,16777215,Sat Jul  4 22:50:25 2020,0,15426f18,34986813091217411,手上细节拉满
1289.81100,1,25,16777215,Sat Jul  4 22:50:53 2020,0,3476d4a2,34986828100009987,又来一个？
538.72700,1,25,16777215,Sat Jul  4 22:59:17 2020,0,b3629657,34987092215857155,晕车不至于这么久吧
186.98100,1,25,16777215,Sat Jul  4 23:10:11 2020,0,724d0db7,34987434849599495,舌尖上的东京
1111.26900,1,25,16777215,Sat Jul  4 23:13:37 2020,0,bc74a944,34987542851354629,波纹疾走
714.65000,1,25,16777215,Sat Jul  4 23:20:32 2020,0,724d0db7,34987760536256519,开龙脊与仿生相结合
519.70500,1,25,16777215,Sat Jul  4 23:23:09 2020,0,b1507f28,34987842948562949,左脚踩右脚升天之术
328.27800,1,25,16777215,Sat Jul  4 23:25:43 2020,0,1c9e18a5,34987923952107527,打到蛋的声音
