弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,弹幕信息
120.59300,5,25,15138834,Sun Jul  5 15:17:07 2020,0,1385b2c,35017852050735107,满头呆毛
238.73900,5,25,15138834,Sun Jul  5 15:19:24 2020,0,1385b2c,35017924006117383,哈哈哈哈哈
241.68300,5,25,41194,Sun Jul  5 15:19:34 2020,0,1385b2c,35017929028796421,撒哟娜拉
342.67300,5,25,6830715,Sun Jul  5 15:21:37 2020,0,1385b2c,35017993532473349,麻雀说的对
431.86700,5,25,6830715,Sun Jul  5 15:23:48 2020,0,1385b2c,35018062546075653,你又双叒叕知道了？
839.85200,1,25,16646914,Sun Jul  5 15:24:20 2020,0,def92bf9,35018079433392133,危危
748.71300,5,25,41194,Sun Jul  5 15:29:31 2020,0,1385b2c,35018242360082439,安塞腰鼓
820.73100,5,25,41194,Sun Jul  5 15:30:57 2020,0,1385b2c,35018287594078215,彻底黑化
874.72900,5,25,41194,Sun Jul  5 15:32:26 2020,0,1385b2c,35018333786472455,阿巴阿巴阿巴
919.18500,5,25,41194,Sun Jul  5 15:33:21 2020,0,1385b2c,35018362812628997,精神小伙
1046.41900,5,25,41194,Sun Jul  5 15:35:54 2020,0,1385b2c,35018443239456775,暴击
1050.38700,5,25,41194,Sun Jul  5 15:36:05 2020,0,1385b2c,35018448955768839,五万暴击
1364.94500,5,25,16707842,Sun Jul  5 15:40:27 2020,0,1385b2c,35018586114228293,正片开始
1408.10500,5,25,16707842,Sun Jul  5 15:42:03 2020,0,1385b2c,35018636537626627,柔软？？？
822.16400,1,25,16777215,Sun Jul  5 15:48:27 2020,0,c930ba82,35018837646639107,私は人間ではありません
189.63700,1,25,16777215,Sun Jul  5 16:02:14 2020,0,fe64ebf6,35019271361789955,这个人实力也很恐怖
338.44500,1,25,15138834,Sun Jul  5 16:09:39 2020,0,ea5f44a1,35019504907976711,搞笑番石锤
335.17700,1,25,16777215,Sun Jul  5 16:15:40 2020,0,b3f1e084,35019694018134021,怠惰
782.05600,1,25,16777215,Sun Jul  5 16:16:47 2020,0,36c16637,35019728908451843,身上不会沾到血吗
397.66800,5,25,15138834,Sun Jul  5 16:41:40 2020,0,81413ae5,35020511917375493,你给别人的东西，你说谢谢，真滴强
790.02700,5,25,15138834,Sun Jul  5 16:49:46 2020,0,81413ae5,35020766511104007,众所周知，血是固体，不能沾衣服上
835.54800,5,25,15138834,Sun Jul  5 16:50:35 2020,0,81413ae5,35020792384192519,这不是白天吗
961.46800,5,25,15138834,Sun Jul  5 16:53:01 2020,0,81413ae5,35020869001543683,米奇妙妙屋
1146.74700,5,25,15138834,Sun Jul  5 16:56:27 2020,0,81413ae5,35020976697638915,那个猪就是这个BOSS说的碍事的吧
1161.06800,5,25,15138834,Sun Jul  5 16:56:44 2020,0,81413ae5,35020985973342215,猪猪是好人
667.67000,1,25,16777215,Sun Jul  5 17:03:12 2020,0,66cd97b6,35021189318967301,这看起来像是死透了的样子
490.98200,1,25,16777215,Sun Jul  5 17:14:22 2020,0,b5b8e6cf,35021540794302471,负能量满满
59.20500,1,25,16777215,Sun Jul  5 17:17:12 2020,0,2e44e01a,35021629707255815,你怎么听得懂的
717.94900,1,25,16777215,Sun Jul  5 17:18:09 2020,0,b5b8e6cf,35021659793522691,好帅
323.52500,1,25,16777215,Sun Jul  5 17:29:02 2020,0,b3c5d23d,35022001886724103,动作指导：猎魔人
580.03400,1,25,16777215,Sun Jul  5 17:35:37 2020,0,988a40de,35022208902365191,高老庄hhhhhhc
564.83200,1,25,16777215,Sun Jul  5 17:36:09 2020,0,5e17cd14,35022225811177475,看个小鸟就哭
966.67600,1,25,16777215,Sun Jul  5 17:59:21 2020,0,70eedb99,35022955607490565,鸣女下位
481.11700,1,25,16777215,Sun Jul  5 18:00:14 2020,0,3bd17bd7,35022983387938819,野猪即将上线
418.15300,1,25,16777215,Sun Jul  5 18:19:10 2020,0,76e6662c,35023579052507139,一群杠精
443.45900,5,25,16646914,Sun Jul  5 18:19:35 2020,0,76e6662c,35023592322760711,一群杠精
876.32100,1,25,41194,Sun Jul  5 18:24:31 2020,0,c35ed546,35023747426549763,这黄衣怎么过最终考核的
912.70200,5,25,16646914,Sun Jul  5 18:26:43 2020,0,76e6662c,35023816249835523,看把孩子吓的
937.02700,1,25,16646914,Sun Jul  5 18:27:07 2020,0,76e6662c,35023829013102599,看你把孩子吓的
1256.86000,1,25,16777215,Sun Jul  5 18:29:22 2020,0,b86e7f03,35023899633123331,居然两把刀
849.77000,5,25,15138834,Sun Jul  5 18:36:47 2020,0,ef501ad7,35024133251661829,但是大白天屋子里的鬼也出不来啊
233.77400,5,25,41194,Sun Jul  5 18:39:26 2020,0,8fdfd827,35024216407408647,是会长
19.94500,1,25,16777215,Sun Jul  5 19:14:17 2020,0,ae803ddd,35025312591380487,奇怪的队友增加了
237.95500,1,25,16777215,Sun Jul  5 19:17:43 2020,0,9e7869fe,35025420716867589,就是会长吧
946.96900,1,25,16777215,Sun Jul  5 19:38:48 2020,0,f71accd1,35026084143038471,一个王者带三个青铜，难啊
175.32800,1,25,16777215,Sun Jul  5 19:38:54 2020,0,8cdd262c,35026087040778247,可怜娃娃了
495.06200,1,25,16777215,Sun Jul  5 19:40:11 2020,0,2476e743,35026127708749829,黄毛肯定会喜欢豆子
4.36600,1,25,16777215,Sun Jul  5 19:55:35 2020,0,dc8e88f9,35026611855163397,队友，队友
214.84600,1,25,16777215,Sun Jul  5 19:56:02 2020,0,6f3a77f5,35026626144632839,动作指导：罗老师，别这样别这样
124.57900,1,25,16777215,Sun Jul  5 19:56:33 2020,0,78c2e17c,35026642509758467,这会儿唱的好燃
338.04100,1,25,16777215,Sun Jul  5 19:59:31 2020,0,dc8e88f9,35026735741272069,声优大人，辛苦了
23.35800,1,25,16777215,Sun Jul  5 20:08:54 2020,0,6f1a684f,35027030805315589,这比贼强，就是自己不知道，两个人格
985.17100,1,25,15138834,Sun Jul  5 20:14:13 2020,0,6f3a77f5,35027198406557701,精神小伙
40.98800,1,25,16646914,Sun Jul  5 20:22:11 2020,0,d25c4951,35027449024610311,鸟都吓到了
53.49200,1,25,16646914,Sun Jul  5 20:22:24 2020,0,d25c4951,35027455572443139,麻雀说的对
166.32900,1,25,16646914,Sun Jul  5 20:23:04 2020,0,d25c4951,35027476472659973,鸟哥说得对，太感人了
195.29400,1,25,16646914,Sun Jul  5 20:23:33 2020,0,d25c4951,35027491656564741,这哥们咋通过的考核
211.29500,1,25,16646914,Sun Jul  5 20:23:49 2020,0,d25c4951,35027500047269893,辉夜
231.31300,1,25,16646914,Sun Jul  5 20:24:09 2020,0,d25c4951,35027510548758535,鬼畜之刃
260.86000,1,25,16646914,Sun Jul  5 20:24:38 2020,0,d25c4951,35027526041468935,声音好像辉夜
283.38700,1,25,16646914,Sun Jul  5 20:25:01 2020,0,d25c4951,35027537875173383,世界级嫌弃
377.57900,1,25,16646914,Sun Jul  5 20:26:35 2020,0,d25c4951,35027587239510023,声优辛苦了
398.78800,1,25,16646914,Sun Jul  5 20:26:56 2020,0,d25c4951,35027598343929863,吃到鼻孔里了
437.89000,1,25,16646914,Sun Jul  5 20:27:35 2020,0,d25c4951,35027618827862021,调戏可还行
477.20400,1,25,16646914,Sun Jul  5 20:28:15 2020,0,d25c4951,35027639444439045,鬼畜番石锤
